fact_id,text,updated_at
e66061074d50a0e3c9942a4c,Cats are now Britain's favourite pet: there are 7.7 million cats as opposed to 6.6 million dogs.,2020-08-30 14:53:30 UTC
69616b7a4555b6b3053e4d0f,"Some Siamese cats appear cross-eyed because the nerves from the left side of the brain go to mostly the right eye and the nerves from the right side of the brain go mostly to the left eye. This causes some double vision, which the cat tries to correct by “crossing” its eyes.",2020-08-30 10:47:08 UTC
a16de22a42f621759dc53994,Kittens remain with their mother till the age of 9 weeks.,2020-08-29 12:06:00 UTC
47ccf6e9df89e22482aff46a,Milk can give some cats diarrhea.,2020-08-26 17:14:44 UTC
8dda2d321fef9e7c4e159f14,Cat bites are more likely to become infected than dog bites.,2020-08-23 14:25:39 UTC
968f0f80b87882f49dfc8261,"The first commercially cloned pet was a cat named ""Little Nicky."" He cost his owner $50,000, making him one of the most expensive cats ever.",2020-08-22 22:59:28 UTC
77b0c942ad7b29aa8860f898,Cats spend nearly 1/3 of their waking hours cleaning themselves.,2020-08-20 08:48:38 UTC
97e21017462ed9d5c9524d51,The average lifespan of an outdoor-only cat is about 3 to 5 years while an indoor-only cat can live 16 years or much longer.,2020-08-20 00:02:36 UTC
f2a9dcd8e38e091c0e32ca25,"The first cartoon cat was Felix the Cat in 1919. In 1940, Tom and Jerry starred in the first theatrical cartoon “Puss Gets the Boot.” In 1981 Andrew Lloyd Weber created the musical Cats, based on T.S. Eliot’s Old Possum’s Book of Practical Cats.",2020-08-18 07:34:16 UTC
932e91881a5f73aedebd367b,"In Holland’s embassy in Moscow, Russia, the staff noticed that the two Siamese cats kept meowing and clawing at the walls of the building. Their owners finally investigated, thinking they would find mice. Instead, they discovered microphones hidden by Russian spies. The cats heard the microphones when they turned on.",2020-08-17 13:19:27 UTC
4e8e32c3427ca2a2327c1de2,"Despite imagery of cats happily drinking milk from saucers, studies indicate that cats are actually lactose intolerant and should avoid it entirely.",2020-08-17 10:10:28 UTC
be911386898aa1116bde57c5,"Most cats give birth to a litter of between one and nine kittens. The largest known litter ever produced was 19 kittens, of which 15 survived.",2020-08-16 13:43:32 UTC
ec97080a2d5280ea71d88058,"Cats have about 130,000 hairs per square inch (20,155 hairs per square centimeter).",2020-08-13 04:04:18 UTC
9e40e3187f124baa87e84a72,"In an average year, cat owners in the United States spend over $2 billion on cat food.",2020-08-11 17:56:03 UTC
3323f8066ecbe2d91e186d2e,"Cats should not be fed tuna exclusively, as it lacks taurine, an essential nutrient required for good feline health.  Make sure you have the proper Pet supplies to keep your cat happy and healthy.",2020-08-10 15:47:15 UTC
bdb62fe7a47f925c74b8bcc6,A cat will tremble or shiver when it is extreme pain.,2020-08-10 12:43:44 UTC
74f1983e83ddfd9ee9535569,"In 1987, cats overtook dogs as the number one pet in America (about 50 million cats resided in 24 million homes in 1986). About 37% of American homes today have at least one cat.",2020-08-10 11:49:07 UTC
100dcbe7ea2d8a41ab373fc6,"A cat has more bones than a human; humans have 206, but the cat has 230 (some cites list 245 bones, and state that bones may fuse together as the cat ages).",2020-08-10 06:47:23 UTC
216ed684abf0c7e0600c0f2d,The first cat show was organized in 1871 in London. Cat shows later became a worldwide craze.,2020-08-09 16:06:33 UTC
13ccbf6713dd784ff9e68e99,"Long, muscular hind legs enable snow leopards to leap seven times their own body length in a single bound.",2020-08-09 07:08:53 UTC
7d8ff565b174691dc5544e42,The cat's tail is used to maintain balance.,2020-08-06 13:24:18 UTC
9446c69487891ce8aff737fc,"A cat's cerebral cortex contains about twice as many neurons as that of dogs. Cats have 300 million neurons, whereas dogs have about 160 million. See, cats rule, dogs drool!",2020-08-05 20:05:08 UTC
11cc531406bd674d25e13a7a,"In multi-cat households, cats of the opposite sex usually get along better.",2020-08-03 14:06:22 UTC
85901d7304809d5aa57e3a7b,Phoenician cargo ships are thought to have brought the first domesticated cats to Europe in about 900 BC.,2020-08-02 10:09:54 UTC
2294d895094eb2d89acd35c5,A cats field of vision is about 185 degrees.,2020-08-02 01:13:31 UTC
ef06de325265b4fceb6ddc83,Abraham Lincoln loved cats. He had four of them while he lived in the White House.,2020-08-01 23:32:33 UTC
